frame,ball_type,channel,asm_mean,asm_range,contrast_mean,contrast_range,correlation_mean,correlation_range
100,1,R,0.5601690299036282,0.010186415816326622,6885.683035714286,2237.169642857142,0.6900930805033021,0.1321524759144247
100,1,G,1.0,0.0,0.0,0.0,1.0,0.0
100,1,B,1.0,0.0,0.0,0.0,1.0,0.0
100,2,R,1.0,0.0,0.0,0.0,1.0,0.0
100,2,G,0.6391624689429308,0.014482038002505804,3984.929634117273,1577.57697044335,0.7964586848149289,0.0976359198739335
100,2,B,1.0,0.0,0.0,0.0,1.0,0.0
100,3,R,1.0,0.0,0.0,0.0,1.0,0.0
100,3,G,1.0,0.0,0.0,0.0,1.0,0.0
100,3,B,0.6275273472623064,0.011131518637753635,2204.9290844055013,1307.5255102040817,0.89987649615555,0.0631583043063314
101,1,R,0.6056862810427488,0.014655085174565707,5719.213721061547,1979.021739130435,0.7171356148653729,0.1286469099610379
101,1,G,1.0,0.0,0.0,0.0,1.0,0.0
101,1,B,1.0,0.0,0.0,0.0,1.0,0.0
101,2,R,1.0,0.0,0.0,0.0,1.0,0.0
101,2,G,0.6331127920004916,0.014457870920622007,3970.711609242051,1701.7010467980294,0.8013185401537211,0.10099362542957391
101,2,B,1.0,0.0,0.0,0.0,1.0,0.0
101,3,R,1.0,0.0,0.0,0.0,1.0,0.0
101,3,G,1.0,0.0,0.0,0.0,1.0,0.0
101,3,B,0.616031529968634,0.009159862873405311,2502.1957492236024,1548.2142857142858,0.8886465868093245,0.07331682729448685
102,1,R,0.6937132821591868,0.025224202849864374,4406.978383458647,589.4078947368416,0.7187953084482308,0.07396565853725035
102,1,G,1.0,0.0,0.0,0.0,1.0,0.0
102,1,B,1.0,0.0,0.0,0.0,1.0,0.0
102,2,R,1.0,0.0,0.0,0.0,1.0,0.0
102,2,G,0.6035171436079574,0.011043150607565888,4328.872662897447,1711.7110529556644,0.7995637834151961,0.0938405157121972
102,2,B,1.0,0.0,0.0,0.0,1.0,0.0
102,3,R,1.0,0.0,0.0,0.0,1.0,0.0
102,3,G,1.0,0.0,0.0,0.0,1.0,0.0
102,3,B,0.6390450019307252,0.00783165276368869,2210.0807327001357,941.9545454545453,0.8961003099897533,0.048341056128606175
103,1,R,0.6737184472875193,0.023022198076761535,4806.70739348371,960.1644736842109,0.7104640800771915,0.09460839180479697
103,1,G,1.0,0.0,0.0,0.0,1.0,0.0
103,1,B,1.0,0.0,0.0,0.0,1.0,0.0
103,2,R,1.0,0.0,0.0,0.0,1.0,0.0
103,2,G,0.6275041198719894,0.013435459135175742,4024.4395589593596,1634.1335052339905,0.8018335148822674,0.0958246474718677
103,2,B,1.0,0.0,0.0,0.0,1.0,0.0
103,3,R,1.0,0.0,0.0,0.0,1.0,0.0
103,3,G,1.0,0.0,0.0,0.0,1.0,0.0
103,3,B,0.6297816272847716,0.00952640791314796,2248.0149769585255,1084.9838709677422,0.897075783888053,0.05364418643877611
104,1,R,0.578927838390091,0.013730580386424496,6082.0955674760025,2146.082015810276,0.7193534597390427,0.12708489158775016
104,1,G,1.0,0.0,0.0,0.0,1.0,0.0
104,1,B,1.0,0.0,0.0,0.0,1.0,0.0
104,2,R,1.0,0.0,0.0,0.0,1.0,0.0
104,2,G,0.6304125373404614,0.01423273136411074,3970.711609242051,1701.7010467980294,0.8030697758689433,0.09980743503854339
104,2,B,1.0,0.0,0.0,0.0,1.0,0.0
104,3,R,1.0,0.0,0.0,0.0,1.0,0.0
104,3,G,1.0,0.0,0.0,0.0,1.0,0.0
104,3,B,0.6067272243910624,0.010697265160523273,2491.447618351841,1118.4827586206893,0.8922054117254755,0.052364366164860066
